depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en,prediction_label,prediction_score
7,23,2,1,1,119.51667,337.63333,83.166664,68.96667,0.0,59.7,94.736664,39.905556,73.37222,95.183334,11.416667,73.34167,36.0,6.0,16.272728,13.5,23.0,0.0,0.0,0.0,2,101,117,90,152,-1,-1,-1,152,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,4,1,1,1,74.5,0.0,91.48333,74.5,0.0,91.48333,74.5,0.0,91.48333,74.5,0.0,91.48333,25.0,20.0,21.25,20.0,4.0,0.0,0.0,0.0,2,261,123,91,156,-1,-1,-1,156,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,52,2,1,1,26.5,46.0,22.483334,14.0,0.5,11.0,20.921795,17.719334,16.652565,20.5,1.5,16.0,38.0,3.0,19.76923,22.0,52.0,0.0,0.0,0.0,2,193,68,120,17,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,16,1,1,1,102.98333,41.7,101.48333,75.0,1.0,62.483334,85.99167,18.695238,78.11667,82.99167,13.5,74.25,33.0,1.0,16.25,16.5,16.0,0.0,0.0,0.0,2,241,8,65,142,-1,-1,-1,142,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,44,1,1,1,45.566666,50.75,9.35,31.316668,0.8,3.95,37.792423,20.67381,5.330303,37.416668,3.5,4.633333,34.0,3.0,15.4,15.0,44.0,0.0,0.0,0.0,2,492,67,0,19,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,12,1,1,1,70.26667,41.45,80.51667,65.01667,4.983333,63.366665,68.48889,17.463333,69.23333,70.183334,5.1,63.816666,32.0,1.0,15.5,15.5,12.0,0.0,0.0,0.0,2,120,88,101,143,-1,-1,-1,143,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,12,1,1,1,106.88333,52.116665,41.483334,33.5,0.0,33.0,59.127777,10.92,37.97222,37.0,0.5,39.433334,38.0,3.0,16.25,11.5,12.0,0.0,0.0,0.0,2,291,9,25,21,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,22,2,1,1,31.0,110.0,82.5,24.0,0.0,0.0,26.666666,52.088333,43.296665,26.25,63.241665,55.983334,48.0,1.0,28.142857,31.0,22.0,0.0,0.0,0.0,2,207,113,78,16,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,30,1,1,1,34.0,57.0,51.0,23.5,0.0,34.5,28.640476,16.391666,41.497917,29.5,11.0,40.491665,35.0,1.0,16.8,16.0,30.0,0.0,0.0,0.0,2,387,106,79,92,-1,-1,-1,92,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,8,1,1,1,75.23333,219.91667,66.21667,58.266666,0.0,0.0,66.75,96.022224,33.108334,66.75,68.15,33.108334,25.0,15.0,18.0,16.0,8.0,0.0,0.0,0.0,2,119,88,101,143,-1,-1,-1,143,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
