route_id,route_no,route_no_cbts,route_origin,route_destination,route_type,route_category,route_service,route_corridor,route_name,route_desc,route_dist_in,route_dist_out,state_id,depot_id,status,freq_min,freq_max,total_km,km_per_trip,travel_time,deadmileage,line_id,zone,pis_profile
577,T780,T7800,,,TEMPATAN,Normal,RAPID,,Stesen LRT Kelana Jaya ~ Taman Mayang,Stesen LRT Kelana Jaya ~ Taman Mayang,,,1,8,0,13.0,13.0,10.70,,40.0,22.0,T780002,1,
578,T781,T7810,,,TEMPATAN,Normal,RAPID,,Stesen LRT Kelana Jaya ~ Kelana Centre Point,Stesen LRT Kelana Jaya ~ Kelana Centre Point,,,1,8,0,12.0,12.0,11.20,,35.0,22.0,T781002,1,
579,T782,T7820,,,TEMPATAN,Normal,RAPID,,Stesen LRT Kelana Jaya ~ Ara Damansara,Stesen LRT Kelana Jaya ~ Ara Damansara,,,1,8,0,8.0,8.0,23.90,,40.0,22.0,T782002,1,
580,T783,T7830,,,TEMPATAN,Normal,RAPID,,Stesen LRT Taman Bahagia ~ SS 6,Stesen LRT Taman Bahagia ~ SS 6,,,1,8,0,13.0,13.0,11.00,,40.0,11.9,T783002,1,
581,T784,T7840,,,TEMPATAN,Normal,RAPID,,Stesen LRT Taman Bahagia ~ Damansara Utama,Stesen LRT Taman Bahagia ~ Damansara Utama,,,1,8,0,13.0,13.0,9.00,,40.0,11.9,T784002,1,
582,T785,T7850,,,TEMPATAN,Normal,RAPID,,Stesen LRT Taman Paramount ~ Sungai Way,Stesen LRT Taman Paramount ~ Sungai Way,,,1,8,0,18.0,18.0,13.30,,35.0,8.0,T785002,1,
583,T786,T7860,,,TEMPATAN,Normal,RAPID,,Stesen LRT Asia Jaya ~ Hotel Eastin,Stesen LRT Asia Jaya ~ Hotel Eastin,,,1,8,0,13.0,13.0,12.30,,40.0,4.4,T786002,1,
584,T787,T7870,,,TEMPATAN,Normal,RAPID,,Stesen LRT Asia Jaya ~ Sekysen 14 & 17,Stesen LRT Asia Jaya ~ Sekysen 14 & 17,,,1,8,0,13.0,13.0,15.70,,40.0,4.4,T787002,1,
585,T788,T7880,,,TEMPATAN,Normal,RAPID,,Stesen LRT Universiti ~ Mid Valley,Stesen LRT Universiti ~ Mid Valley,,,1,8,0,6.0,6.0,8.10,,12.0,13.0,T788002,1,
586,T789,T7890,,,TEMPATAN,Normal,RAPID,,Bukit Angkasa ~ Universiti Malaya,Bukit Angkasa ~ Universiti Malaya,,,1,8,0,7.0,7.0,7.00,,40.0,13.0,T789002,1,
587,T790,T7900,,,TEMPATAN,Normal,RAPID,,Stesen LRT Universiti ~ Hospital Universiti ~ SS2 ~ Mid Valley,Stesen LRT Universiti ~ Hospital Universiti ~ SS2 ~ Mid Valley,,,1,8,0,6.0,6.0,8.10,,35.0,13.0,T790002,2,
588,T791,T7910,,,TEMPATAN,Normal,RAPID,,Stesen LRT Kerinchi ~ Pantai Hill Park,Stesen LRT Kerinchi ~ Pantai Hill Park,,,1,8,0,12.0,12.0,12.80,,35.0,12.0,T791002,1,
589,T800,T8000,,,TEMPATAN,Normal,RAPID,,Pelangi Damansara ~ Bandar Utama,Pelangi Damansara ~ Bandar Utama,,,1,9,0,15.0,15.0,10.00,10.0,20.0,32.0,T800002,1,
590,T850,T8500,,,TEMPATAN,Normal,RAPID,,Stesen LRT Bangsar ~ Pusat Damansara,STESEN LRT BANGSAR ~ PUSAT DAMANSARA,,,1,8,0,6.0,6.0,10.30,,40.0,27.0,T850002,1,
591,T851,T8510,,,TEMPATAN,Normal,RAPID,,KL Sentral ~ Parlimen,KL Sentral ~ Parlimen,,,1,9,0,15.0,30.0,18.00,,20.0,32.0,T851002,1,
592,600,U6000,,,0,Normal,RAPID,,Puchong Utama ~ Pasar Seni,Puchong Utama ~ Pasar Seni,,,1,6,0,,,48.6,,,,U600002,0,
593,SEWA KHAS,,,,OTHER,Normal,RAPID,,,Bas yang disewakan khas untuk kegunaan lain,,,1,5,1,,,0,,,0,,0,
594,506,U5060,PUTRAJAYA SENTRAL,BANDAR UTAMA,UTAMA,Normal,RAPID,,PUTRAJAYA SENTRAL :: TERMINAL BDR UTAMA,Putrajaya Sentral ~ Bandar Utama,35200.0,36000.0,1,5,1,,,71,36.0,,39,U506002,0,
595,PJ03,P0030,,,0,Shuttle,PJCT,,LRT Taman Bahagia ~ SS6 Kelana Park View,LRT Taman Bahagia ~ SS6 Kelana Park View,,,1,8,0,,,,,,,P003002,1,
596,PJ04,P0040,,,0,Shuttle,PJCT,,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,LRT Taman Bahagia ~ Kg Tunku ~ Sea Park via SS2,,,1,8,0,,,,,,,P004002,1,
597,AJ01,S0040,,,0,Shuttle,SS_MPAJ,,Ukay Perdana ~ Taman Melawati via Sg. Sering,Ukay Perdana ~ Taman Melawati via Sg. Sering,,,1,3,0,20.0,20.0,18,10.0,60.0,8,S004002,0,
598,KJ01,S0030,HENTIAN KAJANG,BANDAR KAJANG VIA SEKSYEN 7 BANGI,SS,Shuttle,SS_MPKj,,TERMINAL REKO :: PEKAN KAJANG,Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi,,19800.0,1,5,1,,,19.8,19.8,,40,S003002,0,
600,SEWA KHAS,,,,0,Normal,RAPID,,,Bas yang disewakan khas untuk kegunaan lain,,,1,3,1,,,0,,,0,,0,
601,SEWA KHAS,,,,0,Normal,RAPID,,,Bas yang disewakan khas untuk kegunaan lain,,,1,1,0,,,0,,,0,,0,
